drug_1,drug_2,drug_3,synergy_score
capecitabine,eribulin,panobinostat,0.4088917969129861
capecitabine,epirubicin,eribulin,0.40486098590839753
capecitabine,epirubicin,panobinostat,0.4046398559418001
capecitabine,docetaxel,gemcitabine,0.3992232891356254
anastrozole,letrozole,palbociclib,0.39353799101066594
anastrozole,eribulin,vinorelbine,0.39068965473627465
eribulin,letrozole,vinorelbine,0.3890147242241408
anastrozole,entrectinib,letrozole,0.3814366071350641
anastrozole,degarelix,fulvestrant,0.3703027891620338
anastrozole,everolimus,letrozole,0.3609648039767908
anastrozole,degarelix,goserelin,0.3606012196926213
alpelisib,goserelin,tucatinib,0.35849797351077595
capecitabine,docetaxel,paclitaxel,0.3476023909363398
everolimus,lapatinib,panobinostat,0.3471213235006985
anastrozole,lapatinib,letrozole,0.336511359749395
epirubicin,eribulin,gemcitabine,0.33526807315129603
epirubicin,gemcitabine,panobinostat,0.3352595377045208
capecitabine,docetaxel,eribulin,0.33478393814462665
capecitabine,docetaxel,panobinostat,0.3345661814524182
capecitabine,lapatinib,paclitaxel,0.3330261982754567
exemestane,goserelin,letrozole,0.33281138162704593
epirubicin,gemcitabine,lapatinib,0.3324650260897367
epirubicin,gemcitabine,vinorelbine,0.33158177432008873
capecitabine,eribulin,lapatinib,0.33090066813336566
everolimus,fentanyl,propofol,0.32992327365729346
fentanyl,panobinostat,propofol,0.32992327365729246
fentanyl,lapatinib,propofol,0.3299232736572924
fentanyl,lY2835219,propofol,0.32992327365729224
fentanyl,pF-03084014,propofol,0.32992327365729224
epirubicin,fentanyl,propofol,0.3299232736572922
degarelix,fentanyl,propofol,0.3299232736572921
fentanyl,hydroxychloroquine,propofol,0.32992327365729146
exemestane,fentanyl,propofol,0.32992327365729135
fentanyl,fulvestrant,propofol,0.3299232736572913
fentanyl,propofol,tucatinib,0.32992327365729124
entrectinib,fentanyl,propofol,0.32992327365729124
alpelisib,fentanyl,propofol,0.32992327365729124
fentanyl,paclitaxel,propofol,0.32992327365729107
fentanyl,gemcitabine,propofol,0.32992327365729107
eribulin,fentanyl,propofol,0.329923273657291
capecitabine,fentanyl,propofol,0.329923273657291
fentanyl,goserelin,propofol,0.32992327365729085
canagliflozin,fentanyl,propofol,0.3299232736572907
fentanyl,letrozole,propofol,0.3299232736572907
anastrozole,fentanyl,propofol,0.32992327365729046
docetaxel,fentanyl,propofol,0.32992327365729
fentanyl,palbociclib,propofol,0.32992327365728996
fentanyl,propofol,vinorelbine,0.3299232736572897
anastrozole,degarelix,vinorelbine,0.32904249763591015
epirubicin,gemcitabine,letrozole,0.32729665739203156
epirubicin,everolimus,gemcitabine,0.3272934761808129
anastrozole,epirubicin,gemcitabine,0.3272560951272108
epirubicin,exemestane,gemcitabine,0.3271938684305955
epirubicin,fulvestrant,gemcitabine,0.32719177500858837
epirubicin,gemcitabine,goserelin,0.3271906793776456
epirubicin,gemcitabine,lY2835219,0.3271897549673715
degarelix,epirubicin,gemcitabine,0.3271887601913312
epirubicin,gemcitabine,palbociclib,0.32718811594641845
entrectinib,epirubicin,gemcitabine,0.3271877862025774
alpelisib,epirubicin,gemcitabine,0.32718698898058285
epirubicin,gemcitabine,tucatinib,0.32718693548254796
epirubicin,fentanyl,gemcitabine,0.327186877639069
epirubicin,gemcitabine,midazolam,0.32718687763906845
canagliflozin,epirubicin,gemcitabine,0.3271868776390683
epirubicin,gemcitabine,pF-03084014,0.32718687763906823
epirubicin,gemcitabine,propofol,0.32718687763906806
epirubicin,gemcitabine,hydroxychloroquine,0.3271868776390675
epirubicin,eribulin,vinorelbine,0.32623863168383743
capecitabine,epirubicin,lapatinib,0.32518736847567864
eribulin,paclitaxel,vinorelbine,0.3241026275366668
eribulin,panobinostat,vinorelbine,0.3240157342925252
eribulin,lapatinib,vinorelbine,0.32178381715751986
docetaxel,eribulin,vinorelbine,0.3216027933963151
entrectinib,goserelin,letrozole,0.31964846918199
eribulin,exemestane,vinorelbine,0.3191901591840276
alpelisib,letrozole,tucatinib,0.3183011033588403
alpelisib,anastrozole,tucatinib,0.3179306026943777
eribulin,fulvestrant,vinorelbine,0.3175209242659014
eribulin,goserelin,vinorelbine,0.31731014500563964
alpelisib,exemestane,tucatinib,0.31727298179716823
degarelix,eribulin,vinorelbine,0.31678194900541445
eribulin,lY2835219,vinorelbine,0.3161556273772568
eribulin,everolimus,vinorelbine,0.31572501370031847
eribulin,palbociclib,vinorelbine,0.31568634915390514
eribulin,gemcitabine,vinorelbine,0.3156593759378704
entrectinib,eribulin,vinorelbine,0.3153355940739299
alpelisib,everolimus,tucatinib,0.3149286148195702
alpelisib,eribulin,vinorelbine,0.3147785920145838
eribulin,tucatinib,vinorelbine,0.31474481199805926
eribulin,hydroxychloroquine,vinorelbine,0.3147109577142299
eribulin,pF-03084014,vinorelbine,0.31471095771422974
eribulin,fentanyl,vinorelbine,0.31471095771422913
canagliflozin,eribulin,vinorelbine,0.31471095771422897
eribulin,midazolam,vinorelbine,0.3147109577142287
eribulin,propofol,vinorelbine,0.31471095771422847
alpelisib,lY2835219,tucatinib,0.3139853583890248
alpelisib,palbociclib,tucatinib,0.31352536934062486
everolimus,exemestane,letrozole,0.313448119438388
alpelisib,entrectinib,tucatinib,0.3128608191911329
alpelisib,degarelix,tucatinib,0.3122455266437216
alpelisib,tucatinib,vinorelbine,0.3121806402608209
alpelisib,lapatinib,tucatinib,0.3121594872384979
alpelisib,eribulin,tucatinib,0.3120908103559451
alpelisib,capecitabine,tucatinib,0.31208896309181583
alpelisib,panobinostat,tucatinib,0.3120887740113543
alpelisib,epirubicin,tucatinib,0.3120851362615528
alpelisib,paclitaxel,tucatinib,0.31208511905389336
alpelisib,docetaxel,tucatinib,0.3120850768671236
alpelisib,gemcitabine,tucatinib,0.31208499495602393
alpelisib,pF-03084014,tucatinib,0.31208498101629134
alpelisib,propofol,tucatinib,0.3120849810162911
alpelisib,fentanyl,tucatinib,0.31208498101629106
alpelisib,midazolam,tucatinib,0.31208498101629106
alpelisib,hydroxychloroquine,tucatinib,0.31208498101629106
alpelisib,canagliflozin,tucatinib,0.3120849810162909
capecitabine,paclitaxel,vinorelbine,0.30799024747740805
anastrozole,exemestane,lY2835219,0.3056920894894523
capecitabine,panobinostat,vinorelbine,0.3056487494408805
anastrozole,everolimus,exemestane,0.30499366013391155
anastrozole,exemestane,goserelin,0.3037541006659914
capecitabine,epirubicin,vinorelbine,0.29965694450876695
anastrozole,eribulin,letrozole,0.2988206624740653
anastrozole,degarelix,palbociclib,0.29658326262475676
alpelisib,anastrozole,letrozole,0.29420927824647913
fulvestrant,goserelin,letrozole,0.29290114466150113
anastrozole,letrozole,tucatinib,0.2917245322646124
anastrozole,capecitabine,letrozole,0.290564958307739
docetaxel,epirubicin,eribulin,0.2902832784254548
docetaxel,epirubicin,panobinostat,0.2902707531775078
anastrozole,letrozole,panobinostat,0.29013550796875504
everolimus,exemestane,fulvestrant,0.28922487346415776
anastrozole,degarelix,everolimus,0.2877675477505337
anastrozole,letrozole,paclitaxel,0.2871372065868534
anastrozole,epirubicin,letrozole,0.2870947149868624
anastrozole,docetaxel,letrozole,0.28704979342954123
anastrozole,gemcitabine,letrozole,0.28695634874469955
anastrozole,canagliflozin,letrozole,0.2869360332452287
anastrozole,hydroxychloroquine,letrozole,0.2869360332452284
anastrozole,letrozole,pF-03084014,0.28693603324522776
anastrozole,letrozole,propofol,0.2869360332452274
anastrozole,fentanyl,letrozole,0.286936033245227
anastrozole,letrozole,midazolam,0.28693603324522693
lapatinib,letrozole,panobinostat,0.2863497506093559
docetaxel,epirubicin,lapatinib,0.2862511246166868
docetaxel,epirubicin,vinorelbine,0.284985464277113
docetaxel,epirubicin,letrozole,0.27859181339716255
docetaxel,epirubicin,everolimus,0.2785854886995989
anastrozole,docetaxel,epirubicin,0.2785298615796599
docetaxel,epirubicin,exemestane,0.27843516661189904
docetaxel,epirubicin,fulvestrant,0.27843204640125463
docetaxel,epirubicin,goserelin,0.2784303385555399
docetaxel,epirubicin,lY2835219,0.27842895140355484
degarelix,docetaxel,epirubicin,0.27842737905615095
docetaxel,epirubicin,palbociclib,0.278426465111785
docetaxel,entrectinib,epirubicin,0.2784259497870149
alpelisib,docetaxel,epirubicin,0.27842478273974974
docetaxel,epirubicin,tucatinib,0.27842470140721914
docetaxel,epirubicin,hydroxychloroquine,0.2784246165254374
docetaxel,epirubicin,pF-03084014,0.27842461652543726
canagliflozin,docetaxel,epirubicin,0.2784246165254372
docetaxel,epirubicin,fentanyl,0.27842461652543715
docetaxel,epirubicin,propofol,0.27842461652543715
docetaxel,epirubicin,midazolam,0.27842461652543704
docetaxel,gemcitabine,paclitaxel,0.27623645857949863
entrectinib,exemestane,letrozole,0.27558956021401765
exemestane,lY2835219,letrozole,0.27152418428367453
anastrozole,exemestane,vinorelbine,0.26873569186149804
anastrozole,degarelix,entrectinib,0.2642447495244052
anastrozole,degarelix,eribulin,0.26305005771355716
anastrozole,fulvestrant,goserelin,0.261039502657333
alpelisib,anastrozole,degarelix,0.26060491790887574
anastrozole,degarelix,lapatinib,0.26039947596419993
anastrozole,degarelix,tucatinib,0.25944411643287885
anastrozole,capecitabine,degarelix,0.2584809652794999
exemestane,letrozole,vinorelbine,0.2582781679066344
exemestane,letrozole,palbociclib,0.25790867192430256
anastrozole,degarelix,panobinostat,0.25729737763375526
anastrozole,degarelix,paclitaxel,0.25709963616049997
anastrozole,degarelix,epirubicin,0.25708463626096645
anastrozole,degarelix,docetaxel,0.25706623836020726
anastrozole,degarelix,gemcitabine,0.25702933081567686
anastrozole,degarelix,pF-03084014,0.2570214335181193
anastrozole,degarelix,fentanyl,0.2570214335181191
anastrozole,degarelix,midazolam,0.25702143351811896
anastrozole,degarelix,hydroxychloroquine,0.2570214335181189
anastrozole,degarelix,propofol,0.25702143351811857
anastrozole,canagliflozin,degarelix,0.25702143351811774
capecitabine,docetaxel,lapatinib,0.25643246025315847
docetaxel,eribulin,gemcitabine,0.25489989306210886
docetaxel,gemcitabine,panobinostat,0.2548947308897227
docetaxel,gemcitabine,lapatinib,0.25341898554180037
docetaxel,gemcitabine,vinorelbine,0.25296525751921345
docetaxel,gemcitabine,letrozole,0.25009496043502527
docetaxel,everolimus,gemcitabine,0.25008866082899006
anastrozole,docetaxel,gemcitabine,0.250064011924356
docetaxel,exemestane,gemcitabine,0.2500174463952667
docetaxel,fulvestrant,gemcitabine,0.2500160528775754
docetaxel,gemcitabine,goserelin,0.250015125897639
docetaxel,gemcitabine,lY2835219,0.2500144858942366
degarelix,docetaxel,gemcitabine,0.25001358689088676
docetaxel,gemcitabine,palbociclib,0.25001328032216313
docetaxel,entrectinib,gemcitabine,0.2500129978299993
alpelisib,docetaxel,gemcitabine,0.25001252314507355
docetaxel,gemcitabine,tucatinib,0.250012483321088
docetaxel,gemcitabine,hydroxychloroquine,0.2500124483377981
docetaxel,gemcitabine,pF-03084014,0.2500124483377981
