DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA
DC475B7	DMWTAOI	Estramustine	Approved	34	DMAE6LK	Topetecan	Approved	34	.	.	.	.	Mixed endometrioid and clear cell carcinoma	SYNERGxDB Database	Investigative	IGROV1	1.8	4.89	4.6	6.87
DCHIETW	DMWTAOI	Estramustine	Approved	34	DMAO80I	Pralatrexate	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HCT116	4.1	0.94	1.19	1.19
DCY7NYM	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	CAOV3	6.97	5.12	2.88	6.73
DCWAD34	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	OVCAR3	5.27	3.08	0.51	3.26
DCD6V9Z	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH2122	5.89	4.91	0.9	5.9
DCT8LM1	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	COLO320DM	0.97	4.15	3.44	3.72
DCSG1M5	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	DLD1	2.62	3.33	0.15	3.84
DCP3NN8	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	8.6	7.16	5.72	9.67
DCYVWGR	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	A375	9.18	10.8	7.16	11.5
DCWXPPS	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	2.3	1.87	0.07	3.88
DC78TZX	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	SKMEL30	14.29	16.71	2.94	13.23
DC04W3O	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Mesothelioma	SYNERGxDB Database	Investigative	MSTO	4.55	4.79	1.19	5.61
DCUSUS6	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Non small cell carcinoma	SYNERGxDB Database	Investigative	SKMES1	2.54	1.04	0.75	4.5
DCLH11P	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	5.6	5.23	3.7	8.49
DCBLV7H	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	1.4	3.1	0.71	4.7
DCAGN5S	DMWTAOI	Estramustine	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	VCAP	2.41	6.33	6.31	3.14
DCUFW4U	DMWTAOI	Estramustine	Approved	34	DMC3P45	Terameprocol	Phase 2	21	.	.	.	.	Non-small cell lung carcinoma	SYNERGxDB Database	Investigative	HOP-92	0.8	5.41	0.3	2.56
DCEDSWI	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	CAOV3	7.89	8.05	8.49	14.8
DCBJNYB	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	OVCAR3	1.74	5.05	3.58	5.41
DC8LG30	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	A427	6.66	6.07	8.19	11.69
DCSJ2X0	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH2122	8.12	10.33	12.79	10.77
DCLA6Q6	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH520	14.42	15.76	7.99	17.8
DCFUSYF	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HT29	8.87	10.79	2.18	13.65
DCFHVZY	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	SW-620	5.57	5	1.81	9.99
DC69O7A	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	9.72	9.4	5.85	11.96
DC7J14Z	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	8.79	8.81	10.68	12.16
DC7JIS4	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	A375	7.78	7.85	1.04	10.07
DCVV960	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	HT144	1.65	4.62	3.18	7.39
DCWXMJA	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	0.65	0.94	30.89	1.49
DCCYZOB	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	UACC62	11.73	12.45	0.95	14.05
DCA3GPR	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Mesothelioma	SYNERGxDB Database	Investigative	MSTO	7.5	8.82	5.09	12.17
DCJVNL9	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Non small cell carcinoma	SYNERGxDB Database	Investigative	SKMES1	4.03	5.91	2.13	10.13
DC3LHTQ	DMWTAOI	Estramustine	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	9.09	8.46	9.88	15.94
DC09RVN	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	OVCAR3	1.87	2.17	2.99	7.62
DCNUD6B	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH2122	4.21	3.66	0.65	6.13
DCTVHIA	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	COLO320DM	10.4	11.92	1.96	14.39
DCAODRI	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HT29	0.43	9.73	1.19	11.01
DC0WVH4	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	SW-620	7.82	7.31	15.38	7.07
DC0TU8K	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	11.06	12.42	9.22	14.32
DCFSS8I	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	1.22	1.78	3.98	6.16
DCRGM44	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	A375	9.53	11.04	5.59	11.04
DC2PCL9	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	HT144	2.93	7.62	0.29	9.43
DCN2962	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	5.8	9.05	6.08	11.4
DC1EM91	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	UACC62	9.69	11.65	7.63	12.93
DCVS3W2	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Mesothelioma	SYNERGxDB Database	Investigative	MSTO	16.77	13.2	14.88	17.68
DCXJB7E	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Non small cell carcinoma	SYNERGxDB Database	Investigative	SKMES1	0.97	0.11	1.8	4.3
DCKQ987	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	13.08	13.9	13.56	17.21
DCI0N3D	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	3.34	5.79	2.34	8.15
DCMGXD5	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	LNCAP	5.11	4.27	7.35	9.87
DC7HOPS	DMWTAOI	Estramustine	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	VCAP	7.96	13.58	2.77	10.66
DC6RK4Z	DMWTAOI	Estramustine	Approved	34	DMCT3I8	Ifosfamide	Approved	34	.	.	.	.	Lung adenocarcinoma	SYNERGxDB Database	Investigative	MDA-MB-231	2.07	5.69	3.23	0.96
DCHS51B	DMWTAOI	Estramustine	Approved	34	DMCT3I8	Ifosfamide	Approved	34	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	2.9	6.98	5.53	0.68
DCHM2Z4	DMWTAOI	Estramustine	Approved	34	DMDI269	Docetaxel	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH23	0.73	1.42	1.46	1.11
DCFONZU	DMWTAOI	Estramustine	Approved	34	DMDI269	Docetaxel	Approved	34	.	.	.	.	Lung adenocarcinoma	SYNERGxDB Database	Investigative	MDA-MB-231	2.54	5.99	1.39	0.01
DC2057S	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	A549	6.17	7.86	7.76	2.86
DC8H4VR	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	M14	4.12	6.73	2.73	1.56
DCOF6VT	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	High grade ovarian serous adenocarcinoma	SYNERGxDB Database	Investigative	OVCAR-5	2.74	7	4.03	2.16
DCVCI00	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	UACC62	1.31	3.4	1.64	1.28
DC1K2L3	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	Melanoma	SYNERGxDB Database	Investigative	UACC-257	1.29	2.94	1.31	0.05
DC38CP7	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	Non-small cell lung carcinoma	SYNERGxDB Database	Investigative	HOP-92	3.82	6.26	5.46	1.05
DCROO7R	DMWTAOI	Estramustine	Approved	34	DMDKF3M	Raloxifene	Approved	34	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	3.63	4.82	1.69	0.13
DCROSU1	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	CAOV3	1.73	1.27	0.19	4.75
DCFLH11	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH23	2.47	0.88	3.79	7.45
DCR2FV7	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	COLO320DM	2.83	3.64	0.89	4.96
DC1VTGF	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	DLD1	1.27	4.28	3.17	3.77
DC2NERJ	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HT29	2.83	10.01	7.44	9.95
DCJ70UI	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	8.64	6.11	1.66	8.66
DCZTFSZ	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Germ cell tumour	SYNERGxDB Database	Investigative	PA1	1.55	1.91	1.33	5.96
DCGMPWJ	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	A375	10.02	20.26	16.06	17.78
DCD30UN	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	2.59	2.71	2.07	6.05
DCRJN2P	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	SKMEL30	6.21	15.76	9.19	11.37
DC6RPZ8	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	UACC62	5.85	10.24	7.61	10.69
DCZU85E	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Mesothelioma	SYNERGxDB Database	Investigative	MSTO	9.77	13.12	12.48	14.93
DCYIFMU	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	14.24	13.86	15.86	20.33
DCBIT89	DMWTAOI	Estramustine	Approved	34	DMFGYKS	MK-5108	Phase 1	17	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	7.91	9.13	9.86	9.08
DCTSBC5	DMWTAOI	Estramustine	Approved	34	DMFH15Z	Bendamustine hydrochloride	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HCT116	1.39	1.47	2.32	3.58
DCU55XM	DMWTAOI	Estramustine	Approved	34	DMFH15Z	Bendamustine hydrochloride	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	LOX IMVI	2.21	1.01	5.55	6.79
DCUJ2DR	DMWTAOI	Estramustine	Approved	34	DMH0ZJE	Mitomycin	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HCC-2998	0.35	9	4.27	4.77
DCVM7UZ	DMWTAOI	Estramustine	Approved	34	DMH0ZJE	Mitomycin	Approved	34	.	.	.	.	High grade ovarian serous adenocarcinoma	SYNERGxDB Database	Investigative	NCI\\/ADR-RES	2.94	6.32	3.46	1.96
DC87JSR	DMWTAOI	Estramustine	Approved	34	DMH0ZJE	Mitomycin	Approved	34	.	.	.	.	Lung adenocarcinoma	SYNERGxDB Database	Investigative	HOP-62	6.2	6.79	1.21	5.66
DCLUQWY	DMWTAOI	Estramustine	Approved	34	DMKLAYG	Altretamine	Approved	34	.	.	.	.	Lung adenocarcinoma	SYNERGxDB Database	Investigative	HOP-62	1.87	7.56	2.27	3.45
DCCHNII	DMWTAOI	Estramustine	Approved	34	DMKLAYG	Altretamine	Approved	34	.	.	.	.	Lung adenocarcinoma 	SYNERGxDB Database	Investigative	NCI-H522	0.03	4.86	4.04	4.33
DC2LB1G	DMWTAOI	Estramustine	Approved	34	DMKLAYG	Altretamine	Approved	34	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	2.42	5.67	5.34	1.24
DC3NB9F	DMWTAOI	Estramustine	Approved	34	DMLHEU7	Ridaforolimus	Phase 3	25	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	8.14	8.12	4.52	9.68
DC01IYE	DMWTAOI	Estramustine	Approved	34	DMLHEU7	Ridaforolimus	Phase 3	25	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	3.67	4.76	0.99	5.92
DCBQ6A5	DMWTAOI	Estramustine	Approved	34	DMLHEU7	Ridaforolimus	Phase 3	25	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	7.08	6.58	3.25	8.13
DCZ9BR2	DMWTAOI	Estramustine	Approved	34	DMLHEU7	Ridaforolimus	Phase 3	25	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	LNCAP	6.02	4.75	3.65	7.35
DCHPXZP	DMWTAOI	Estramustine	Approved	34	DMLNFWU	TEM	Phase 2	21	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	DU-145	0.45	6.56	1.89	2.26
DCFQCRE	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	CAOV3	1.74	1.98	6.4	7.89
DC5B0CG	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	A427	2.39	7.36	12.16	13.19
DCGOSKE	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH1650	3.69	5.93	3.7	7.01
DCXQNEO	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH2122	1.32	6.48	6.47	6.99
DC9PTV3	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH23	5.33	2.41	6.64	8.1
DCWEHI9	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	NCIH520	0.14	0.89	1.26	4.27
DC3WP0U	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	COLO320DM	4.29	9.1	10.43	10.75
DCMEYC8	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	DLD1	2.67	7.77	7.44	8
DCSUO6D	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HCT116	2.3	8.46	8.88	8.82
DCEJDAW	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HT29	3.81	5.46	7.69	8.61
DCNCC3T	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	SW-620	1.57	3.47	6.51	7.7
DC3CSQQ	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	4.64	8.64	9.1	10.9
DC4R6GG	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Germ cell tumour	SYNERGxDB Database	Investigative	PA1	4.46	4.63	6.29	7.18
DCFNRK6	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	1.71	2.06	4.23	4.3
DCPS87M	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	A375	1.71	5.84	2.45	4.23
DC806PV	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	0.97	1.58	6.93	8.09
DCURHSP	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	SKMEL30	11.34	16.89	11.69	12.71
DC8KZKY	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	UACC62	2.75	5.67	5.77	7.41
DCRQ1ZE	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Mesothelioma	SYNERGxDB Database	Investigative	MSTO	21.51	22.62	20.49	23.09
DC3QHQH	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Non small cell carcinoma	SYNERGxDB Database	Investigative	SKMES1	1.99	5.81	8.06	8.62
DCB5BI2	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	15.96	15	20.67	23.12
DC2EAWX	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Ovarian serous cystadenocarcinoma	SYNERGxDB Database	Investigative	SK-OV-3	4.17	5.2	6.62	7.4
DC1VSSS	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	LNCAP	5.87	1.3	6.68	8.85
DCN438M	DMWTAOI	Estramustine	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	VCAP	2.77	13.62	2.48	10.66
DCBDOSY	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	COLO320DM	0.01	2.89	2.67	6.11
DCHB0XM	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	HT29	3.31	7.54	0.48	3.73
DC0K9PN	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	High grade ovarian serous adenocarcinoma	SYNERGxDB Database	Investigative	OVCAR-8	0.45	4.19	1.33	1.88
DC4P7OI	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Lung adenocarcinoma	SYNERGxDB Database	Investigative	MDA-MB-231	7.29	9.07	2.63	2.12
DCNQNLZ	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	1.69	1.94	0.43	4.67
DCUD52V	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Mesothelioma	SYNERGxDB Database	Investigative	MSTO	7.57	8.29	4.79	9.09
DCVUMXN	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Ovarian endometrioid adenocarcinoma	SYNERGxDB Database	Investigative	A2780	8.13	9.21	6.22	10.03
DCS8VOP	DMWTAOI	Estramustine	Approved	34	DMM0XGL	Idarubicin	Approved	34	.	.	.	.	Prostate carcinoma	SYNERGxDB Database	Investigative	VCAP	3.78	6.96	0.88	1.13
DCISVTS	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	COLO320DM	13.1	16.28	14.28	16.35
DC9E9NJ	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	DLD1	5.45	8.12	3.14	7.32
DC97OHD	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Adenocarcinoma	SYNERGxDB Database	Investigative	SW-620	2.9	4.55	1.3	5.29
DCIO55I	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Amelanotic melanoma	SYNERGxDB Database	Investigative	A2058	11.11	9.1	4.36	7.11
DCI6GEU	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	1.46	2.01	1.28	4.37
DC4LZS1	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	HT144	0.7	6.05	0.98	6.25
DCFSUEA	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	RPMI7951	7.58	8.52	4.67	8.71
DCHE1Q2	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	SKMEL30	7.21	11.34	2.03	8.62
DCZHRY6	DMWTAOI	Estramustine	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Malignant melanoma	SYNERGxDB Database	Investigative	UACC62	3.93	8	2.67	8.09
