DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCHB3VE	DM6L4H2	cobicistat	Approved	34.0	DMTQF4A	tenofovir alafenamide	Phase 3	25.0	DMU764S	ritonavir	.	.	HIV Infections	ClinicalTrials.gov	Phase 1	.					3
DCHZZAH	DM6L4H2	cobicistat	Approved	34.0	DMSFK9V	daclatasvir	Approved	34.0	DMSYRBX	atazanavir	.	.	Hepatitis C	ClinicalTrials.gov	Phase 1	.					3
DCVZ9OE	DM6L4H2	cobicistat	Approved	34.0	DMAOL2S	voriconazole	Approved	34.0	DMG5C8D	gS-9620	.	.	Human Immunodeficiency Virus Type 1 (HIV-1) Infection	ClinicalTrials.gov	Phase 1	.					3
DCKWNXK	DMQUSBT	daunorubicin	Approved	34.0	DMTA5OE	azacitidine	Approved	34.0	DMZD5QR	cytarabine	.	.	MDS	ClinicalTrials.gov	Phase 2	.					3
DCU9GCL	DMQUSBT	daunorubicin	Approved	34.0	DMZD5QR	cytarabine	Approved	34.0	DMZIM37	cP-868596	.	.	Newly Diagnosed AML With FLT3 Activating Mutations	ClinicalTrials.gov	Phase 2	.					3
DCXW8J5	DMQUSBT	daunorubicin	Approved	34.0	DMTI0ZO	gilteritinib	Approved	34.0	DMZD5QR	cytarabine	.	.	Acute Myeloid Leukemia	ClinicalTrials.gov	Phase 2	.					3
DCD4PRD	DMQUSBT	daunorubicin	Approved	34.0	DMSB068	pF-04449913	Approved	34.0	DMZD5QR	cytarabine	.	.	Acute Myeloid Leukemia	ClinicalTrials.gov	Phase 1	.					3
DCS4SCA	DMQUSBT	daunorubicin	Approved	34.0	DMJV2EK	dasatinib	Investigative	0.0	DMZD5QR	cytarabine	.	.	Acute Myeloid Leukemia (AML)	ClinicalTrials.gov	Phase 1	.					3
DC6FL5U	DMS60RB	levofloxacin	Approved	34.0	DMUYNEI	amoxicillin	Approved	34.0	DMXYLQ3	lansoprazole	.	.	Functional Dyspepsia	ClinicalTrials.gov	Phase 4	.					3
DC2K64F	DMS60RB	levofloxacin	Approved	34.0	DMS6UOE	azithromycin	Phase 3 Trial	25.0	DMW1TV2	rifaximin	.	.	Acute Watery Diarrhea	ClinicalTrials.gov	Phase 1	.					3
DCFQPL3	DMS60RB	levofloxacin	Approved	34.0	DMSVOCZ	pantoprazole	Approved	34.0	DMUYNEI	amoxicillin	.	.	Melatonin Deficiency	ClinicalTrials.gov	Phase 1	.					3
DCC8PUG	DMITQS0	lopinavir	Approved	34.0	DMITQS0	lopinavir	Approved	34.0	DMYURI6	raltegravir	.	.	HIV-1 Infection	ClinicalTrials.gov	Phase 3	.					3
DCMK65W	DMITQS0	lopinavir	Approved	34.0	DMGO72P	oseltamivir	Phase 3 Trial	25.0	DMU764S	ritonavir	.	.	Coronavirus Disease 2019 (COVID-19)	TTD Database	Phase 3	.					3
DCE11ZR	DMITQS0	lopinavir	Approved	34.0	DMTL94F	maraviroc	Approved	34.0	DMU764S	ritonavir	.	.	HIV Infections	ClinicalTrials.gov	Phase 1	.					3
DCCA3OM	DMITQS0	lopinavir	Approved	34.0	DMU764S	ritonavir	Approved	34.0	DMXU6IJ	interferon beta	.	.	Middle East Respiratory Syndrome (MERS)	TTD Database	Investigative	.					3
DCHBQC5	DMITQS0	lopinavir	Approved	34.0	DMPYYQP	interferon alpha	Phase 1/2	19.0	DMU764S	ritonavir	.	.	Coronavirus Disease 2019 (COVID-19)	TTD Database	Investigative	.					3
DC4D4U5	DMOWLVG	nitazoxanide	Phase 3 Trial	25.0	DMDBX5F	ivermectin	Phase 2/3 Trial	24.0	DMSI5CB	chloroquine	.	.	Coronavirus Disease 2019 (COVID-19)	TTD Database	Phase 3	.					3
DC4CA4D	DMOWLVG	nitazoxanide	Phase 3 Trial	25.0	DM7ICNU	doxycycline	Approved	34.0	DMU3DNC	pentoxifylline	.	.	Sexually Transmitted Diseases	ClinicalTrials.gov	Phase 2	.					3
