DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCM4LRJ	DM6QOVN	hKI-272	Phase 3	25.0	DMJIBAW	budesonide	Phase 3 Trial	25.0	DMTEOOS	loperamide	.	.	Early Stage HER2+ Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCS2X5I	DM6QOVN	hKI-272	Phase 3	25.0	DMOJZQ9	loperamide	Preclinical	2.1	DMTS85L	capecitabine	.	.	HER2 Amplified Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCUX4QR	DM6QOVN	hKI-272	Phase 3	25.0	DMMUFKM	colesevelam	Approved	34.0	DMTEOOS	loperamide	.	.	Early-stage Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCG4V5F	DMLB81S	paclitaxel	Approved	34.0	DMPDW6T	epirubicin	Approved	34.0	DMTS85L	capecitabine	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCNGANV	DMCBJSR	sunitinib	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMLB81S	paclitaxel	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC0IC7N	DMAT8CG	goserelin	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMMX75K	lEE011	.	.	Advanced Metastatic Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCCJUSF	DMAT8CG	goserelin	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	.	.	Estrogen Receptor-positive Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCHIMNL	DMAT8CG	goserelin	Approved	34.0	DMD7L94	palbociclib	Approved	34.0	DMNP60F	anastrozole	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
DCLZPT8	DMAT8CG	goserelin	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMMPTLH	entrectinib	.	.	Invasive Lobular Breast Carcinoma	ClinicalTrials.gov	Phase 2	.					3
DCAOYYN	DMEXMYK	alpelisib	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMMX75K	lEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCMXE98	DMD7L94	palbociclib	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMXZAL2	hydroxychloroquine	.	.	Anatomic Stage I Breast Cancer AJCC v8	ClinicalTrials.gov	Phase 1	.					3
DCNMY6P	DM3O8QY	degarelix	Approved	34.0	DM93VBZ	lY2835219	Approved	34.0	DMNP60F	anastrozole	.	.	Male Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCXY87G	DM8RLJ5	rAD-1901	Approved	34.0	DM93VBZ	lY2835219	Approved	34.0	DMMX75K	lEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCEMS9W	DMMX75K	lEE011	Phase 3	25.0	DMMX75K	lEE011	Phase 3	25.0	DMZMSPF	bicalutamide	.	.	Triple Negative Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCUQHXW	DMUP5Z0	pF-03084014	Approved	34.0	DMUP5Z0	pF-03084014	Approved	34.0	DMUP5Z0	pF-03084014	.	.	Triple Negative Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
