DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCRV9OK	DM471KJ	Omeprazole	Approved	34.0	DM4O2Z7	Cyclophosphamide	Approved	34.0	DMYJUNT	Indomethacin	.	.	Breast Neoplasm	ClinicalTrials.gov	Phase 1	.					3
DCY6JTI	DM2OZ3G	Ixabepilone	Approved	34.0	DMTS85L	Capecitabine	Approved	34.0	DMZAL8C	Motesanib	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC35L9F	DM1WEHC	Buparlisib	Phase 3	25.0	DMH07Y3	Letrozole	Approved	34.0	DMMX75K	LEE011	.	.	Advanced or Metastatic Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC93Z3D	DM9HPW3	Exemestane	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCZHHUA	DM9HPW3	Exemestane	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCL9I4L	DM9HPW3	Exemestane	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCASAWS	DM6QOVN	HKI-272	Phase 3	25.0	DMIRPD8	Colestipol	Approved	34.0	DMTEOOS	Loperamide	.	.	Early Stage HER2+ Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCM4LRJ	DM6QOVN	HKI-272	Phase 3	25.0	DMJIBAW	Budesonide	Phase 3 Trial	25.0	DMTEOOS	Loperamide	.	.	Early Stage HER2+ Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCS2X5I	DM6QOVN	HKI-272	Phase 3	25.0	DMOJZQ9	Loperamide	Preclinical	2.1	DMTS85L	Capecitabine	.	.	HER2 Amplified Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCUX4QR	DM6QOVN	HKI-272	Phase 3	25.0	DMMUFKM	Colesevelam	Approved	34.0	DMTEOOS	Loperamide	.	.	Early-stage Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCG4V5F	DMLB81S	Paclitaxel	Approved	34.0	DMPDW6T	Epirubicin	Approved	34.0	DMTS85L	Capecitabine	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCNGANV	DMCBJSR	Sunitinib	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC0IC7N	DMAT8CG	Goserelin	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMMX75K	LEE011	.	.	Advanced Metastatic Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCCJUSF	DMAT8CG	Goserelin	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	.	.	Estrogen Receptor-positive Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCHIMNL	DMAT8CG	Goserelin	Approved	34.0	DMD7L94	Palbociclib	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
DCLZPT8	DMAT8CG	Goserelin	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMMPTLH	Entrectinib	.	.	Invasive Lobular Breast Carcinoma	ClinicalTrials.gov	Phase 2	.					3
DCAOYYN	DMEXMYK	Alpelisib	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMMX75K	LEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCMXE98	DMD7L94	Palbociclib	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMXZAL2	Hydroxychloroquine	.	.	Anatomic Stage I Breast Cancer AJCC v8	ClinicalTrials.gov	Phase 1	.					3
DCNMY6P	DM3O8QY	Degarelix	Approved	34.0	DM93VBZ	LY2835219	Approved	34.0	DMNP60F	Anastrozole	.	.	Male Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCXY87G	DM8RLJ5	RAD-1901	Approved	34.0	DM93VBZ	LY2835219	Approved	34.0	DMMX75K	LEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCEMS9W	DMMX75K	LEE011	Phase 3	25.0	DMMX75K	LEE011	Phase 3	25.0	DMZMSPF	Bicalutamide	.	.	Triple Negative Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCUQHXW	DMUP5Z0	PF-03084014	Approved	34.0	DMUP5Z0	PF-03084014	Approved	34.0	DMUP5Z0	PF-03084014	.	.	Triple Negative Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
